ID,Marital_Status,Income,Dt_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,,,,,,,,,,,,,,,,,,NumStorePurchases,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2
0,Married,"$70,951.00",04-05-2013,239,10,554,254,87,54,3,,,,,,,,,,,,,,,,,,9,0,0,0,0,0
1,Single,"$57,091.00",06-15-2014,464,5,64,7,0,37,7,,,,,,,,,,,,,,,,,,7,0,0,0,0,1
9,Single,"$46,098.00",08-18-2012,57,0,27,0,0,36,3,,,,,,,,,,,,,,,,,,2,0,0,0,0,0
13,Widow,"$25,358.00",07-22-2013,19,0,5,0,0,8,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
17,Married,"$60,491.00",06-09-2013,637,47,237,12,19,76,6,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
20,Married,"$46,891.00",01-09-2013,43,12,23,29,15,61,2,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
22,Divorced,"$46,310.00",03-12-2012,185,2,88,15,5,14,6,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
24,Together,"$17,144.00",02-15-2014,18,2,19,0,2,6,3,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
25,Married,"$65,148.00",11-16-2012,460,35,422,33,12,153,6,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
35,Married,"$25,545.00",08-09-2012,32,1,64,16,12,85,2,Marital_Status,Total Count of Marital Status,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total income,NumWebPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,NumStorePurchases,,3,0,0,0,0,0
48,Together,"$55,761.00",04-24-2014,136,1,12,0,3,32,4,Married,864,258751,22235,138829,30569,23070,36999,"$44,328,307.00",3532,63,7,63,63,66,5055,,3,0,1,0,0,0
49,Single,"$20,587.00",11-05-2014,2,3,6,4,1,9,1,Single ,480,138399,12881,87412,18344,13086,20990,"$24,018,810.00",1859,31,5,38,33,31,2707,,2,0,0,0,0,0
55,Together,"$56,253.00",07-12-2012,509,0,65,7,11,5,7,Widow,77,28434,2548,14575,3957,3004,4371,"$4,292,598.00",356,5,1,4,10,8,494,,9,0,0,0,0,0
67,Single,"$46,423.00",09-18-2013,68,0,16,0,0,8,2,Divorced,232,75364,6363,34848,8130,6222,10739,"$12,257,541.00",1000,12,5,20,18,13,1350,,4,0,0,0,0,0
73,Single,"$51,411.00",05-26-2013,14,0,3,0,0,1,0,Together,580,177959,14703,97500,22615,15151,24937,"$30,509,691.00",2367,32,12,37,43,44,3327,,3,0,0,0,0,0
75,Together,"$41,039.00",07-25-2013,34,11,137,179,61,45,8,Alone,3,554,12,79,23,21,81,"$131,367.00",15,0,0,1,0,0,12,,5,0,0,0,0,0
78,Married,"$25,293.00",09-15-2013,15,0,11,0,2,9,1,YOLO,2,644,6,100,8,6,84,"$96,864.00",14,0,0,1,0,0,12,,2,0,0,0,0,0
87,Married,"$27,733.00",08-26-2013,0,7,5,26,2,17,2,Absurd,2,711,169,625,411,61,408,"$144,731.00",7,1,0,0,0,1,13,,3,0,0,0,0,0
89,Married,"$22,212.00",09-12-2013,5,9,20,6,8,21,2,Total,2240,680816,58917,373968,84057,60621,98609,"$115,779,909.00",9150,144,30,164,167,163,12970,,4,0,0,0,0,0
92,Alone,"$34,176.00",12-05-2014,5,7,24,19,14,20,3,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
113,Married,"$30,833.00",07-16-2013,11,0,7,3,1,6,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
115,Single,"$43,456.00",03-26-2013,275,11,68,25,7,7,5,,,,,,,,,,,,,,,,,,8,0,0,0,0,0
123,Widow,"$67,046.00",06-01-2013,544,35,133,23,151,107,4,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
125,Together,"$53,083.00",05-15-2013,215,7,33,3,0,13,5,,,,,,,,,,,,,,,,,,5,0,1,0,0,0
143,Single,"$61,209.00",08-25-2013,466,0,224,119,49,99,5,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
146,Single,"$76,045.00",11-15-2013,760,53,400,17,93,0,4,,,,,,,,,,,,,,,,,,11,0,0,0,1,0
153,Divorced,"$23,272.00",10-17-2013,19,3,6,4,2,12,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
158,Together,"$71,604.00",11-17-2013,345,53,528,98,75,97,8,,,,,,,,,,,,,,,,,,5,1,0,0,0,0
164,Married,"$28,973.00",10-13-2012,206,0,46,3,2,12,5,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
175,Married,"$71,952.00",10-01-2013,656,80,455,52,107,93,8,,,,,,,,,,,,,,,,,,8,1,0,1,0,0
176,Single,"$67,506.00",02-01-2014,90,38,67,33,36,67,4,,,,,,,,,,,,,,,,,,6,0,0,0,0,0
178,Married,"$62,503.00",02-18-2013,478,0,193,110,75,117,8,,,,,,,,,,,,,,,,,,11,0,0,0,0,0
182,Together,"$44,124.00",11-05-2013,284,0,55,0,6,52,6,,,,,,,,,,,,,,,,,,5,0,0,0,0,0
193,Married,"$14,421.00",02-17-2014,0,0,2,3,3,8,1,,,,,,,,,,,,,,,,,,2,1,0,0,0,0
194,Married,"$48,006.00",09-06-2014,23,0,11,3,2,2,1,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
195,Single,"$38,808.00",08-26-2012,125,17,52,3,19,30,5,,,,,,,,,,,,,,,,,,4,1,0,0,0,0
199,Single,"$45,183.00",01-20-2013,219,3,60,12,9,12,4,,,,,,,,,,,,,,,,,,7,0,1,0,0,0
202,Widow,"$82,032.00",05-04-2014,332,194,377,149,125,57,4,,,,,,,,,,,,,,,,,,7,0,0,0,0,0
203,Single,"$81,169.00",04-14-2013,1288,20,613,80,61,27,5,,,,,,,,,,,,,,,,,,9,0,0,0,0,0
213,Single,"$23,091.00",05-28-2014,35,0,11,0,0,2,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
217,Single,"$64,857.00",11-23-2012,556,14,717,210,0,43,7,,,,,,,,,,,,,,,,,,10,0,0,0,0,0
221,Married,"$48,726.00",04-27-2013,138,3,38,4,0,59,3,,,,,,,,,,,,,,,,,,4,0,0,0,0,0
231,Together,"$28,839.00",11-03-2014,24,0,7,0,0,1,2,,,,,,,,,,,,,,,,,,3,0,0,0,0,0
